Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Circunstâncias Preponderantes,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Menor de 21 ou Maior de 70,Confissão Espontânea,Comparação Pena Provisória,Tráfico Privilegiado,Conversão da Pena
0002169-05.2017.8.26.0150,Tráfico de Drogas,Cosmópolis,1ª Vara Judicial,Maria Thereza Nogueria Pinto,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Não,Diferente da base,Não,Convertida
1501303-38.2021.8.26.0616,Tráfico de Drogas,Itaquaquecetuba,2ª Vara Criminal,Sérgio Cedano,N/A,2190,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1500239-44.2021.8.26.0599,Tráfico de Drogas,Piracicaba,2ª Vara Criminal,Flavia de Cassia Gonzales de Oliveira,N/A,N/A,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Não convertida
1501550-34.2021.8.26.0320,Tráfico de Drogas,Limeira,1ª Vara Criminal,Ricardo Truite Alves,1825,605,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Convertida
1501813-79.2021.8.26.0542,Tráfico de Drogas,Osasco,1ª Vara Criminal,MARCIA DE MELLO ALCOFORADO HERRERO,2190,730,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Convertida
1500187-58.2021.8.26.0628,Tráfico de Drogas,Taboão da Serra,1ª Vara Criminal da Comarca de Taboão da Serra,Gustavo de Azevedo Marchi,3190,3725,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1523699-09.2021.8.26.02282021/001379,Tráfico de Drogas,SÃO PAULO,9ª Vara Criminal,Tatiana Franklin Regueira,1825,913,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
1510241-42.2020.8.26.0071,Tráfico de Drogas,Bauru,3ª Vara Criminal,Marina Freire,2125,3102,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500121-31.2020.8.26.0558,Tráfico de Drogas,Catanduva,1ª Vara Criminal,Antonio Carlos Pinheiro de Freitas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501195-06.2021.8.26.0617,Tráfico de Drogas,Jacareí,2ª Vara Criminal,FERNANDA AMBROGI,2125,3650,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Sim,Não,Diferente da base,Não,Não convertida
1500866-90.2021.8.26.0294,Tráfico de Drogas,Jacupiranga,1ª Vara,Gabriela de Oliveira Thomaze,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,N/A,Sim,Convertida
1502807-04.2019.8.26.0405,Tráfico de Drogas,Osasco,4ª Vara Criminal,Márcia de Mello Alcoforado Herrero,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500986-04.2021.8.26.0628,Tráfico de Drogas,Itapevi,Vara Criminal,Udo Wolff Dick Appolo Do Amaral,2190,2555,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1500075-37.2021.8.26.0128,Tráfico de Drogas,Cardoso,Vara Única,Dra. Helen Komatsu,1825,608,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Sim,Convertida
1500120-86.2019.8.26.0556,Tráfico de Drogas,Ibitinga,Vara Criminal,RICARDO PALACIN PAGLIUSO,N/A,N/A,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Não,N/A,Não,Não convertida
0038049-74.2014.8.26.0114,Tráfico de Drogas,Campinas,3ª Vara Criminal,Nelson Augusto Bernardes de Souza,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500275-15.2021.8.26.0558,Tráfico de Drogas,Catanduva,2ª Vara Criminal e Anexo da Infância e da Juventude,MARCOS VINICIUS KRAUSE BIERHALZ,2125,1415,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,Diferente da base,Sim,Não convertida
1509682-65.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,15ª Vara Criminal,MANOELA ASSEF DA SILVA,N/A,N/A,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,N/A,N/A,Não,Não,Sim,N/A,Não,N/A
1500512-52.2021.8.26.0557,Tráfico de Drogas,Bebedouro,3ª Vara,JOAO CARLOS SAUD ABDALA FILHO,N/A,N/A,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Convertida
1500616-15.2019.8.26.0557,Tráfico de Drogas,Bebedouro,3ª Vara,JOÃO CARLOS SAUD ABDALA FILHO,N/A,730,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Não,Convertida
1502787-13.2021.8.26.0544,Tráfico de Drogas,Franco da Rocha,Vara Criminal,CLARA LACERDA DE ALMEIDA BARROS,2050,2392,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Não convertida
1500091-33.2022.8.26.0038,Tráfico de Drogas,Araras,Vara Criminal,Rafael Pavan de Moraes Filgueira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0013560-63.2017.8.26.0050,Tráfico de Drogas,SÃO PAULO,14ª Vara Criminal,Fernando Augusto Andrade Conceição,N/A,N/A,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,Diferente da base,Não,Não convertida
0006068-23.2018.8.26.0361,Tráfico de Drogas,Mogi das Cruzes,1ª Vara Criminal,Tatiana Saes Valverde Ormeleze,740,740,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Igual à base,Não,Não convertida
1500341-21.2022.8.26.0441,Tráfico de Drogas,Peruíbe,2ª Vara,Danielle Camara Takahashi Cosentino Grandinetti,500,500,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Não,Não,Não,Igual à base,Não,Não convertida
1510836-84.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,20ª Vara Criminal,Carla de Oliveira Pinto Ferrari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1502730-98.2021.8.26.0542,Tráfico de Drogas,Jandira,1ª Vara,Dr(a). AndrÃ© Luiz Tomasi de QueirÃ³z,700,933,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1501572-74.2021.8.26.0617,Tráfico de Drogas,São José dos Campos,2ª Vara Criminal,Brenno Gimenes Cesca,2125,2893,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500581-49.2021.8.26.0213,Tráfico de Drogas,Guará,1ª Vara,ADRIANO PUGLIESI LEITE,2430,2835,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1501272-38.2021.8.26.0286,Tráfico de Drogas,Itu,1Âª Vara Criminal e de ViolÃªncia Doméstica e Familiar contra a Mulher,Andrea Ribeiro Borges,1825,2430,Não,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Não,N/A,Não,Não convertida
1500499-90.2021.8.26.0286,Tráfico de Drogas,Itu,1ª Vara Criminal e de Violência Doméstica e Familiar contra a Mulher,Andrea Ribeiro Borges,500,334,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Não,Diferente da base,Sim,Não convertida
1502698-64.2021.8.26.0196,Tráfico de Drogas,Franca,3ª Vara Criminal,Rodrigo Miguel Ferrari,N/A,N/A,Não,Não,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1501241-49.2021.8.26.0599,Tráfico de Drogas,Piracicaba,3ª Vara Criminal,Dr(a). Rodrigo Pares Andreucci,1825,605,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
1501045-05.2018.8.26.0302,Tráfico de Drogas,Jaú,1ª Vara Criminal,PEDRO SIQUEIRA DE PRETTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500202-11.2020.8.26.0580,Tráfico de Drogas,Cândido Mota,1ª Vara,BRUNO CÉSAR GIOVANINI GARCIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501123-37.2022.8.26.0535,Tráfico de Drogas,Guarulhos,1ª Vara Criminal,MIRIAN KEIKO SANCHES MACEDO,583,583,Não,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Igual à base,Não,Não convertida
1500066-69.2021.8.26.0615,Tráfico de Drogas,Tanabi,Juizado Especial Cível e Criminal,Dr. Rafael Salomão Spinelli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1502057-23.2021.8.26.0537,Tráfico de Drogas,Diadema,1ª Vara Criminal,CECILIA NAIR SIQUEIRA PRADO EUZEBIO,500,166,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Sim,Diferente da base,Sim,Não convertida
0021084-82.2015.8.26.0050,Tráfico de Drogas,SÃO PAULO,7ª Vara Criminal,Dra. Eliana Cassales Tosi Bastos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001048-26.2018.8.26.0628,Tráfico de Drogas,Cotia,Vara Criminal,Dr(a). Andressa Martins Bejarano,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Sim,N/A,Não,Convertida
0001113-07.2013.8.26.0366,Tráfico de Drogas,Mongaguá,2ª Vara,Bruno Nascimento Troccoli,1260,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001032-55.2022.8.26.0362,Tráfico de Drogas,Mogi-Guaçu,Vara Criminal,PAULO ROGERIO MALVEZZI,N/A,N/A,N/A,Não,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,N/A
1500074-96.2020.8.26.0545,Tráfico de Drogas,Piracaia,2ª Vara,LUCAS DE ABREU EVANGELINOS,N/A,150,Não,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Não convertida
1500099-05.2022.8.26.0363,Tráfico de Drogas,Mogi-Mirim,3ª Vara,RAPHAELLO ALONSO GOMES CAVALCANTI,2125,3325,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1502048-48.2022.8.26.0530,Tráfico de Drogas,Ribeirão Preto,4ª Vara Criminal,Lúcio Alberto Enéas da Silva Ferreira,500,583,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Múltiplas condenações,Não,Sim,N/A,Não,Não convertida
1501968-07.2021.8.26.0567,Tráfico de Drogas,Sorocaba,3ª Vara Criminal,Daniella Camberlingo Querobim,500,583,Não,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1502041-89.2022.8.26.0616,Tráfico de Drogas,Mogi das Cruzes,2ª Vara Criminal,Dr. Davi de Castro Pereira Rio,2125,1825,Não,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Não,N/A,Não,Não convertida
1500891-31.2021.8.26.0318,Tráfico de Drogas,Leme,Vara Criminal,LUCAS SEMAAN CAMPOS EZEQUIEL,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Sim,Convertida
1500194-53.2021.8.26.0142,Tráfico de Drogas,Colina,Vara Única,FABIANO MOTA CARDOSO,485,565,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1500311-08.2022.8.26.0660,Tráfico de Drogas,Viradouro,Vara Única,PEDRO HENRIQUE ANTUNES MOTTA GOMES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501691-73.2019.8.26.0530,Tráfico de Drogas,Ribeirão Preto,1ª Vara Criminal,Guaracy Sibille Leite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500331-20.2018.8.26.0569,Tráfico de Drogas,Indaiatuba,2ª Vara Criminal,Dra. Daniela Faria Romano,500,166,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Sim,Igual à base,Sim,Convertida
1502531-19.2019.8.26.0616,Tráfico de Drogas,Suzano,1ª Vara Criminal,FERNANDO OLIVEIRA CAMARGO,500,166,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Sim,Convertida
1501049-89.2018.8.26.0642,Tráfico de Drogas,Ubatuba,3ª Vara,Diogo Volpe Gonçalves Soares,N/A,910,N/A,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Sim,Igual à base,Não,Não convertida
0005306-71.2017.8.26.0642,Tráfico de Drogas,Ubatuba,3ª Vara,DIOGO VOLPE GONÇALVES SOARES,547,547,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Convertida
1501477-84.2021.8.26.0248,Tráfico de Drogas,Indaiatuba,2ª Vara Criminal,Dra. Daniela Faria Romano,500,166,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Sim,Convertida
1500167-78.2021.8.26.0592,Tráfico de Drogas,Lucélia,1ª Vara,GUILHERME LOPES ALVES PEREIRA,583,680,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
0000848-42.2016.8.26.0352,Tráfico de Drogas,Miguelópolis,1ª Vara,José Magno Loureiro Júnior,N/A,N/A,N/A,Não,Primário ou sem antecedentes,N/A,N/A,N/A,Não,Não,N/A,Não,Não convertida
1500737-66.2021.8.26.0559,Tráfico de Drogas,São José do Rio Preto,5ª Vara Criminal,GLÁUCIA VÉSPOLI DOS SANTOS RAMOS DE OLIVEIRA,2700,5880,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1501421-88.2021.8.26.0559,Tráfico de Drogas,São José do Rio Preto,5ª Vara Criminal,GLÁUCIA VÉSPOLI DOS SANTOS RAMOS DE OLIVEIRA,750,1000,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1500094-80.2022.8.26.0557,Tráfico de Drogas,Guaíra,1ª Vara,ANDERSON VALENTE,1825,2735,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500675-55.2021.8.26.0129,Tráfico de Drogas,Casa Branca,1ª Vara,JOSE ALFREDO DE ANDRADE FILHO,2125,2893,Sim,Não,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500290-45.2021.8.26.0570,Tráfico de Drogas,Registro,1ª Vara,Raphael Ernane Neves,2100,1800,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Não,N/A,Não,Não convertida
1502862-88.2021.8.26.0047,Tráfico de Drogas,Assis,2ª Vara Criminal e da Violência Doméstica e Familiar contra a Mulher,Alexandro Conceição dos Santos,500,600,Não,Não,Maus antecedentes,Sim no mínimo,Não,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1502537-88.2020.8.26.0196,Tráfico de Drogas,Franca,1ª Vara Criminal,Luciano Franchi Lemes,N/A,1825,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Não,N/A,Não,Não convertida
1500373-39.2022.8.26.0566,Tráfico de Drogas,São Carlos,1ª Vara Criminal,Antonio Benedito Morello,1825,1825,Não,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Não convertida
1503516-34.2019.8.26.0536,Tráfico de Drogas,Guarujá,3ª Vara Criminal,EDMILSON ROSA DOS SANTOS,1825,1825,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1502822-31.2020.8.26.0536,Tráfico de Drogas,Guarujá,3ª Vara Criminal,EDMILSON ROSA DOS SANTOS,1825,730,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Não,Diferente da base,Não,Convertida
1500903-25.2021.8.26.0648,Tráfico de Drogas,Urupês,Vara Única,VINICIUS NUNES ABBUD,2125,1950,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
0036885-74.2014.8.26.0114,Tráfico de Drogas,Campinas,1ª Vara Criminal,PATRÍCIA SUÁREZ PAE KIM,N/A,600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500047-37.2022.8.26.0580,Tráfico de Drogas,Palmital,1ª Vara,LUCILLANA LUA ROOS DE OLIVEIRA,500,500,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Igual à base,Não,Não convertida
1500064-29.2022.8.26.0142,Tráfico de Drogas,Colina,Vara Única,FABIANO MOTA CARDOSO,583,680,Não,Não,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1500110-95.2022.8.26.0569,Tráfico de Drogas,Itu,2Âª Vara Criminal e do JÃºri,HÃ©lio VillaÃ§a Furukawa,N/A,N/A,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1500114-35.2022.8.26.0569,Tráfico de Drogas,Itu,2ª Vara Criminal e do Júri,Hélio Villaça Furukawa,1825,2125,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Não convertida
0002497-21.2020.8.26.0637,Tráfico de Drogas,Tupã,Vara Criminal,Luiz Henrique Lorey,2735,3190,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
0000676-77.2017.8.26.0607,Tráfico de Drogas,Votuporanga,1ª Vara Criminal,GISLAINE DE BRITO FALEIROS VENDRAMINI,365,365,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1500321-69.2021.8.26.0601,Tráfico de Drogas,Socorro,1ª Vara,FERNANDA YUMI FURUKAWA HATA,3407,6275,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500790-75.2022.8.26.0603,Tráfico de Drogas,Araçatuba,1ª Vara Criminal,Roberto Soares Leite,1825,1825,Sim,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Não,Diferente da base,Não,Não convertida
1501915-73.2021.8.26.0616,Tráfico de Drogas,Mogi das Cruzes,3ª Vara Criminal,Tiago Ducatti Lino Machado,2480,2066,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
