Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Culpabilidade,Antecedentes,Personalidade do Agente,Circunstâncias do Crime,Pena-Base Minimo?,Reincidência,Contra Criança/Idoso/Enfermo/Grávida,Menor de 21 ou Maior de 70,Confissão Espontânea,Pena Provisória,Crime Tentado,Concurso de Pessoas,Restrição de Liberdade da Vítima,Arma Branca,Arma de Fogo,Conversão da Pena
0002602-74.2009.8.26.0219,Roubo Majorado,Guararema,Vara Única,Dr(a). Vanêssa Christie Enande,N/A,730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002728-96.2014.8.26.0301,Roubo Majorado,Jarinu,Vara Única,GUILHERME SOUZA LIMA AZEVEDO,N/A,2373,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Sim,Sim,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0002751-08.2017.8.26.0634,Roubo Majorado,Tremembé,2ª Vara,JULIANA GUIMARAES ORNELLAS,1460,3220,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0003056-39.2017.8.26.0586,Roubo Majorado,São Roque,1ª Vara Criminal,Dr(a). Flavio Roberto de Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003208-62.2016.8.26.0347,Roubo Majorado,Matão,Vara Criminal,Ricardo Domingos Rinhel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003313-49.2010.8.26.0444,Roubo Majorado,Pilar do Sul,Vara Única,DAIANE VALIATI BALLOTTIN RONSANI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003389-76.2021.8.26.0286,Roubo Majorado,Itu,1ª Vara Criminal e de Violência Doméstica e Familiar contra a Mulher,Dra. Andrea Ribeiro Borges,N/A,N/A,N/A,Maus antecedentes,N/A,Desfavoráveis,N/A,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0003423-09.2018.8.26.0625,Roubo Majorado,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Não,N/A,N/A,Não,Sim,Não,Sim,Não,N/A
0003463-74.2017.8.26.0156,Roubo Majorado,Cruzeiro,Vara Criminal,Claudionor Antonio Contri Junior,2430,3783,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Sim,Não,Não convertida
0003474-78.2022.8.26.0625,Roubo Majorado,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,N/A,N/A,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0003779-38.2013.8.26.0153,Roubo Majorado,Cravinhos,1ª Vara,Luiz Claudio Sartorelli,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0004073-59.2001.8.26.0655,Roubo Majorado,Várzea Paulista,1ª Vara,LUIZ GUSTAVO PRIMON,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004074-93.2019.8.26.0079,Roubo Majorado,Botucatu,2ª Vara Criminal,CRISTINA ESCHER,1945,6003,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0004108-02.2017.8.26.0156,Roubo Majorado,Cruzeiro,Vara Criminal,Claudionor Antonio Contri Junior,N/A,N/A,N/A,Maus antecedentes,N/A,Desfavoráveis,N/A,N/A,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0004143-04.2016.8.26.0606,Roubo Majorado,Suzano,2ª Vara Criminal,José Eugenio Do Amaral Souza Neto,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,N/A,N/A,Não,N/A,Não,Sim,Não,Não,Sim,N/A
0004438-31.2012.8.26.0590,Roubo Majorado,São Vicente,3ª Vara Criminal,Rodrigo Barbosa Sales,N/A,N/A,N/A,Maus antecedentes,N/A,Desfavoráveis,N/A,N/A,Não,N/A,N/A,N/A,Não,Sim,Não,Não,Sim,N/A
0004576-80.2014.8.26.0637,Roubo Majorado,Tupã,Vara Criminal,ALINE AMARAL DA SILVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,N/A,N/A,N/A
0004599-85.2015.8.26.0606,Roubo Majorado,Suzano,2ª Vara Criminal,José Eugenio Do Amaral Souza Neto,N/A,N/A,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0004647-58.2016.8.26.0590,Roubo Majorado,São Vicente,1ª Vara Criminal,Alexandre Torres de Aguiar,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Não,Não,Sim,N/A
0004730-64.2022.8.26.0590,Roubo Majorado,São Vicente,1ª Vara Criminal,Alexandre Torres de Aguiar,1460,2648,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Sim,Não,Não,N/A,Não,Sim,Não,Não,Não,Não convertida
0004812-45.2014.8.26.0083,Roubo Majorado,Aguaí,Vara Única,ANDRE ACAYABA DE REZENDE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004958-90.2014.8.26.0114,Roubo Majorado,Campinas,1ª Vara Criminal,Dr(a). PATRÍCIA SUAREZ PAE KIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005068-97.2020.8.26.0302,Roubo Majorado,Jaú,1ª Vara Criminal,Dr(a). PEDRO SIQUEIRA DE PRETTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005094-12.2015.8.26.0063,Roubo Majorado,Barra Bonita,1ª Vara,GUILHERME BECKER ATHERINO,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,Sim,Não,Não,N/A,Não,Sim,N/A,Não,Não,N/A
0005181-89.2017.8.26.0291,Roubo Majorado,Jaboticabal,Vara Criminal,FABIANO MOTA CARDOSO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,Não,Não,Sim,N/A
0005184-38.2015.8.26.0348,Roubo Majorado,Mauá,1ª Vara Criminal,SANDRO RAFAEL BARBOSA PACHECO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005674-39.2005.8.26.0048,Roubo Majorado,Atibaia,2ª Vara Criminal,CAROLINA CHEQUE DE FREITAS,N/A,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005757-84.2017.8.26.0161,Roubo Majorado,Diadema,1ª Vara Criminal,Dra. CECILIA NAIR SIQUEIRA PRADO EUZEBIO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005780-29.2017.8.26.0032,Roubo Majorado,Araçatuba,2ª Vara Criminal,Sérgio Ricardo Biella,1700,1460,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Não,Não,Não,Não,Não convertida
0005806-07.2015.8.26.0417,Roubo Majorado,Paraguaçu Paulista,3ª Vara,VICTOR GAVAZZI CESAR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,Não,Sim,N/A
0005992-20.2018.8.26.0451,Roubo Majorado,Piracicaba,4ª Vara Criminal,Dr(a). Gisela Ruffo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006030-79.2022.8.26.0196,Roubo Majorado,Franca,2ª Vara Criminal,Dr(a). EWERTON MEIRELIS GONCALVES,N/A,2310,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Sim,Não,Não,Não convertida
0006121-21.2017.8.26.0302,Roubo Majorado,Jaú,1ª Vara Criminal,Carina Lucheta Carrara,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006155-20.2008.8.26.0590,Roubo Majorado,São Vicente,2ª Vara Criminal,Luís Guilherme Vaz de Lima Cardinale,1460,1945,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Não,Não,Não,Sim,Não convertida
0006255-49.2015.8.26.0292,Roubo Majorado,Jacareí,2ª Vara Criminal,FERNANDA AMBROGI,7310,3655,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,N/A,Sim,Sim,Não,Não,Sim,Não convertida
