Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Culpabilidade,Antecedentes,Personalidade do Agente,Circunstâncias do Crime,Pena-Base Minimo?,Reincidência,Contra Criança/Idoso/Enfermo/Grávida,Menor de 21 ou Maior de 70,Confissão Espontânea,Pena Provisória,Crime Tentado,Concurso de Pessoas,Restrição de Liberdade da Vítima,Arma Branca,Arma de Fogo,Conversão da Pena
0001303-35.2017.8.26.0299,Roubo Simples,Carapicuíba,1ª Vara Criminal,Carolina Hispagnol Marchi,1460,1460,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,Igual à base,Não,Não,Não,Não,Não,Não convertida
0001323-53.2019.8.26.0526,Roubo Simples,Salto,2ª Vara,Beatriz Sylvia Straube de Almeida Prado Costa,1460,2735,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Não,Diferente da base,Não,Sim,Sim,Não,Sim,Não convertida
0001357-26.2022.8.26.0040,Roubo Simples,Américo Brasiliense,1ª Vara,Daniel Romano Soares,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001512-50.2017.8.26.0219,Roubo Simples,Guararema,Vara Única,Vanêssa Christie Enande,N/A,N/A,N/A,Maus antecedentes,N/A,Desfavoráveis,N/A,Múltiplas condenações,Sim,Sim,N/A,N/A,Não,Não,N/A,N/A,N/A,N/A
0001520-91.2016.8.26.0306,Roubo Simples,José Bonifácio,2ª Vara,Natália Berti,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Não,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,N/A,Não convertida
0001531-60.2018.8.26.0659,Roubo Simples,Vinhedo,1ª Vara,Dr(a). FÃ¡bio Marcelo Holanda,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,N/A,Sim,Não,Não,Não,Sim,Não convertida
0001615-29.2017.8.26.0099,Roubo Simples,Bragança Paulista,2ª Vara Criminal,LAÉRCIO JOSÉ MENDES FERREIRA FILHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,Sim,N/A
0001742-32.1994.8.26.0338,Roubo Simples,Mairiporã,2ª Vara,SANDRO CAVALCANTI ROLLO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001783-67.2015.8.26.0045,Roubo Simples,Arujá,1ª Vara,NAIRA BLANCO MACHADO,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,Sim,Sim,N/A,N/A,Não,Sim,Sim,Não,Sim,N/A
0001790-68.2017.8.26.0278,Roubo Simples,Itaquaquecetuba,1ª Vara Criminal,Dra. Érica Pereira de Sousa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A,N/A,Sim,N/A
0001807-88.2017.8.26.0542,Roubo Simples,Osasco,3ª Vara Criminal,DANIELLE MARTINS CARDOSO,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,N/A,Não,Não,Não,N/A,N/A,Sim,Não,Não,Não,Não,Não convertida
0001900-87.2008.8.26.0050,Roubo Simples,SÃO PAULO,6ª Vara Criminal,Dr(a). Margot Chrysostomo Corrêa,N/A,2270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002046-53.2021.8.26.0445,Roubo Simples,Pindamonhangaba,Vara Criminal,FELIPE ESTEVAO DE MELO GONCALVES,N/A,N/A,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,N/A,N/A,Não,Não,Não,N/A,Não,Sim,Sim,Sim,Não,N/A
0002173-02.2017.8.26.0616,Roubo Simples,Itaquaquecetuba,1ª Vara Criminal,Dra. Érica Pereira de Sousa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A
0002260-56.2015.8.26.0315,Roubo Simples,Laranjal Paulista,1ª Vara,ELIANE CRISTINA CINTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002681-03.2017.8.26.0242,Roubo Simples,Igarapava,2Âª Vara,Pedro Henrique Bicalho Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002728-83.2016.8.26.0606,Roubo Simples,Suzano,2ª Vara Criminal,Dr(a). José Eugenio Do Amaral Souza Neto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003026-70.2018.8.26.0197,Roubo Simples,Francisco Morato,2ª Vara,RODRIGO MARCOS DE ALMEIDA GERALDES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,Não,Não,N/A
0003034-97.2014.8.26.0161,Roubo Simples,Diadema,3ª Vara Criminal,Dr(a). Maria da Conceição Pinto Vendeiro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003093-17.2018.8.26.0300,Roubo Simples,Jardinópolis,1ª Vara,Mariana Tonoli Angeli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,Sim,N/A,Não,N/A,N/A
0003103-30.2021.8.26.0050,Roubo Simples,SÃO PAULO,26ª Vara Criminal,Ana Claudia dos Santos Sillas,1460,1945,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0003540-13.2016.8.26.0223,Roubo Simples,Guarujá,1ª Vara Criminal,THOMAZ CORREA FARQUI,1640,1945,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Uma condenação,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0003748-08.2018.8.26.0132,Roubo Simples,Catanduva,2ª Vara Criminal e Anexo da Infância e da Juventude,Dr(a). Sandro Nogueira de Barros Leite,1460,1460,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Não,Não,Não,Sim,Igual à base,Não,Não,Não,Sim,Não,Não convertida
0003804-30.2017.8.26.0050,Roubo Simples,SÃO PAULO,16ª Vara Criminal,FABIOLA OLIVEIRA SILVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,Não,Não,N/A
0003926-34.2017.8.26.0441,Roubo Simples,Peruíbe,1ª Vara,ANDERSON JOSÉ BORGES DA MOTA,1985,485,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,Diferente da base,Não,Não,Não,Sim,Não,Não convertida
0004177-03.2008.8.26.0624,Roubo Simples,Tatuí,1ª Vara Criminal,MARIANA TEIXEIRA SALVIANO DA ROCHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004342-69.2020.8.26.0223,Roubo Simples,Guarujá,1ª Vara Criminal,Denise Gomes Bezerra Mota,1460,2360,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Não,Não,Sim,Sim,N/A,Não,Sim,Não,Não,N/A,Não convertida
0004364-98.2020.8.26.0362,Roubo Simples,Mogi-Guaçu,Vara Criminal,PAULO ROGERIO MALVEZZI,1825,4726,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Uma condenação,Sim,Sim,Não,N/A,Não,Sim,Não,Sim,Sim,Não convertida
0004374-31.2017.8.26.0045,Roubo Simples,Arujá,1ª Vara,NAIRA BLANCO MACHADO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Sim,Sim,Não,N/A
0004731-91.2017.8.26.0568,Roubo Simples,São João da Boa Vista,Vara Criminal,Elaní Cristina Mendes Marum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,Sim,Não,N/A
0005059-22.2007.8.26.0099,Roubo Simples,Bragança Paulista,1ª Vara Criminal,Dra. Nicole de Almeida Campos Leite Colombini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005184-33.2020.8.26.0196,Roubo Simples,Franca,1ª Vara Criminal,Luciano Franchi Lemes,1460,1945,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0005316-59.2021.8.26.0292,Roubo Simples,Jacareí,2ª Vara Criminal,FERNANDA AMBROGI,1700,1321,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Sim,Sim,Não,Não,Sim,Não convertida
0005355-09.2012.8.26.0248,Roubo Simples,Indaiatuba,1ª Vara Criminal,JOSE EDUARDO DA COSTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005555-52.2016.8.26.0126,Roubo Simples,Caraguatatuba,Vara Criminal,JÚLIO DA SILVA BRANCHINI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005565-88.2006.8.26.0145,Roubo Simples,Conchas,1ª Vara,BÁRBARA GALVÃO SIMÕES DE CAMARGO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005768-62.2022.8.26.0477,Roubo Simples,Praia Grande,2ª Vara Criminal,Antonio Carlos Costa Pessoa Martins,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005875-30.2016.8.26.0635,Roubo Simples,São Paulo,12ª Vara Criminal,Dr(a). EVA LOBO CHAIB DIAS JORGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006086-83.2003.8.26.0615,Roubo Simples,Tanabi,1ª Vara,Renato Soares de Melo Filho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006127-41.2022.8.26.0047,Roubo Simples,Assis,3ª Vara Criminal e da Infância e Juventude de Assis,Arnaldo Luiz Zasso Valderrama,1945,3458,Alta ou acentuada,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Não,Não convertida
0006143-71.2011.8.26.0405,Roubo Simples,Osasco,4ª Vara Criminal,ULISSES AUGUSTO PASCOLATI JUNIOR,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,N/A
0006197-97.2022.8.26.0228,Roubo Simples,SÃO PAULO,28ª Vara Criminal,Augusto Antonini,1470,1958,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,Igual à base,Não,Sim,Sim,Não,Não,Não convertida
0006260-97.2004.8.26.0505,Roubo Simples,Ribeirão Pires,3ª Vara,JULIANA MARIA MACCARI GONÇALVES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006270-34.2015.8.26.0028,Roubo Simples,Aparecida,2ª Vara,LUÍSA TOSTES ESCOCARD DE OLIVEIRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006706-63.2015.8.26.0037,Roubo Simples,Araraquara,3ª Vara Criminal,Roberto Raineri Simão,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007469-59.2018.8.26.0037,Roubo Simples,Araraquara,1ª Vara Criminal,Adriana Albergueti Albano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007525-82.2015.8.26.0430,Roubo Simples,Paulo de Faria,Vara Única,LUAN CASAGRANDE,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0007742-50.2010.8.26.0156,Roubo Simples,Cruzeiro,Vara Criminal,Claudionor Antonio Contri Junior,N/A,677,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0008034-06.2008.8.26.0156,Roubo Simples,Cruzeiro,Vara Criminal,Claudionor Antonio Contri Junior,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0008057-86.2016.8.26.0635,Roubo Simples,SÃO PAULO,28ª Vara Criminal,CLAUDIA GUIMARAES DOS SANTOS,1700,2648,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Sim,Sim,Não,Não,Sim,Não convertida
0008356-06.2006.8.26.0541,Roubo Simples,Santa Fé do Sul,2ª Vara,MARCOS HIDEAKI SATO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0008626-98.2009.8.26.0452,Roubo Simples,Piraju,2ª Vara,LUCAS DADALTO SAHÃO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,N/A,N/A
0090317-35.2016.8.26.0050,Roubo Simples,SÃO PAULO,29ª Vara Criminal,Antonio Maria Patiño Zorz,1460,1748,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Não,Não,Não,Sim,Não convertida
0091418-73.2017.8.26.0050,Roubo Simples,SÃO PAULO,8ª Vara Criminal,Cynthia Maria Sabino Bezerra Camurri,1700,1700,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,N/A,Sim,Não,Não,Não,Sim,Não convertida
0095943-64.2018.8.26.0050,Roubo Simples,SÃO PAULO,9ª Vara Criminal,Dr(a). Lilian Lage Humes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0096408-10.2017.8.26.0050,Roubo Simples,SÃO PAULO,30ª Vara Criminal,Marcus Alexandre Manhães Bastos,1700,890,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Sim,Não,Não,Diferente da base,Sim,Não,Não,Não,Sim,Não convertida
0100690-91.2017.8.26.0050,Roubo Simples,SÃO PAULO,23ª Vara Criminal,Dra. Valéria Longobardi,1748,2041,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Não,Não,Não,Não,Não convertida
0107603-89.2017.8.26.0050,Roubo Simples,SÃO PAULO,4ª Vara Criminal,MARIA PRISCILLA ERNANDES VEIGA OLIVEIRA,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0584361-21.1994.8.26.0577,Roubo Simples,São José dos Campos,4ª Vara Criminal,CARLOS GUTEMBERG DE SANTIS CUNHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0678751-26.2005.8.26.0050,Roubo Simples,SÃO PAULO,7ª Vara Criminal,Dra. Eliana Cassales Tosi Bastos,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,Não,Sim,N/A
0871066-52.2003.8.26.0050,Roubo Simples,SÃO PAULO,28ª Vara Criminal,Fernanda Galizia Noriega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001999-74.2022.8.26.0268,Roubo Simples,Itapecerica da Serra,3ª Vara,BRUNO CORTINA CAMPOPIANO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500006-97.2022.8.26.0571,Roubo Simples,Capão Bonito,1ª Vara,FELIPE ABRAHAM DE CAMARGO JUBRAM,N/A,N/A,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Sim,Não,Não,Sim,Não,Não convertida
1500011-09.2021.8.26.0037,Roubo Simples,Araraquara,1ª Vara Criminal,Dr(a). Humberto Isaias Gonçalves Rios,1460,1460,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Normais ou neutras,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Não,Não convertida
1500013-89.2022.8.26.0571,Roubo Simples,Tatuí,1ª Vara Criminal,Mariana Teixeira Salviano da Rocha,1460,2270,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500016-45.2022.8.26.0603,Roubo Simples,Birigui,2ª Vara Criminal,Leonardo Lopes Sardinha,1748,1748,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,Igual à base,Não,Não,Não,Sim,N/A,Não convertida
1500020-39.2020.8.26.0058,Roubo Simples,Agudos,1ª Vara Judicial,SAULO MEGA SOARES E SILVA,1460,1460,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Sim,Sim,Igual à base,Sim,Sim,Sim,Não,Não,Não convertida
1500022-71.2022.8.26.0144,Roubo Simples,Conchal,Vara Única,FELIPE GUINSANI,1748,3500,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Não,Não,Não,Sim,Não convertida
1500023-67.2022.8.26.0302,Roubo Simples,Jaú,1ª Vara Criminal,PEDRO SIQUEIRA DE PRETTO,2292,4076,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Sim,Não,Não,Diferente da base,Não,Sim,Não,Sim,Não,Não convertida
1500027-80.2022.8.26.0698,Roubo Simples,Pirangi,Vara Única,VINICIUS MONERAT TOLEDO MACHADO,1680,5533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,Sim,Sim,N/A,Não convertida
1500030-08.2022.8.26.0319,Roubo Simples,Lençóis Paulista,3ª Vara Cumulativa,Jose Luis Pereira Andrade,1700,2648,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Não,Diferente da base,Não,Não,Não,Sim,Não,Não convertida
1500032-61.2022.8.26.0550,Roubo Simples,Brotas,1ª Vara,MARCELA MACHADO MARTINIANO,1958,2376,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
1500032-85.2019.8.26.0382,Roubo Simples,Neves Paulista,Vara Única,MILENA REPIZO RODRIGUES,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
1500032-85.2022.8.26.0542,Roubo Simples,Osasco,1ª Vara Criminal,Dr(a). Gisele de Castro Catapano,N/A,N/A,Neutra ou comum,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Uma condenação,Não,Não,Sim,N/A,Não,Não,Não,Sim,Não,Não convertida
